------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 189.40.186.130 port 5001 connected with 150.165.13.86 port 59888
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  93.2 MBytes   781 Mbits/sec   0.069 ms 14464/80916 (18%)
[  3]  1.0- 2.0 sec  97.2 MBytes   815 Mbits/sec   0.060 ms 11602/80940 (14%)
[  3]  2.0- 3.0 sec  97.6 MBytes   819 Mbits/sec   0.011 ms 11430/81045 (14%)
[  3]  3.0- 4.0 sec  97.8 MBytes   820 Mbits/sec   0.057 ms 11392/81141 (14%)
[  3]  4.0- 5.0 sec  97.6 MBytes   818 Mbits/sec   0.035 ms 11466/81061 (14%)
[  3]  5.0- 6.0 sec  96.7 MBytes   811 Mbits/sec   0.005 ms 12133/81112 (15%)
[  3]  6.0- 7.0 sec  97.5 MBytes   818 Mbits/sec   0.032 ms 11526/81093 (14%)
[  3]  7.0- 8.0 sec  97.7 MBytes   820 Mbits/sec   0.005 ms 11339/81055 (14%)
[  3]  8.0- 9.0 sec  97.0 MBytes   813 Mbits/sec   0.058 ms 12003/81166 (15%)
[  3]  9.0-10.0 sec  98.0 MBytes   822 Mbits/sec   0.063 ms 11085/81016 (14%)
[  3]  0.0-10.0 sec   971 MBytes   814 Mbits/sec   0.338 ms 118525/811457 (15%)
